Time,Setpoint,ProcessValue,Output,Mode,State,ErrorBits
2019-02-14T10:28:37.784Z,35,31.177661895751953,0,3,4,0
2019-02-14T10:28:42.788Z,35,30.743633270263672,0,3,4,0
2019-02-14T10:28:47.794Z,35,31.134258270263672,0,3,4,0
2019-02-14T10:28:52.802Z,35,31.42361068725586,0,3,4,0
2019-02-14T10:28:57.810Z,35,31.20659637451172,0,3,4,0
2019-02-14T10:29:02.817Z,35,31.55381965637207,0,3,4,0
2019-02-14T10:29:07.825Z,35,31.51041603088379,0,3,4,0
2019-02-14T10:29:12.829Z,35,31.626157760620117,0,3,4,0
2019-02-14T10:29:17.835Z,35,31.799768447875977,0,3,4,0
2019-02-14T10:29:22.848Z,35,31.770832061767578,0,3,4,0
2019-02-14T10:29:27.849Z,35,31.264467239379883,0,3,4,0
2019-02-14T10:29:32.858Z,35,31.061920166015625,0,3,4,0
2019-02-14T10:29:37.865Z,35,31.351272583007812,0,3,4,0
2019-02-14T10:29:42.874Z,35,32.233795166015625,0,3,4,0
2019-02-14T10:29:47.879Z,35,32.47974395751953,0,3,4,0
2019-02-14T10:29:52.890Z,35,31.69849395751953,0,3,4,0
2019-02-14T10:29:57.892Z,35,31.264467239379883,0,3,4,0
2019-02-14T10:30:02.906Z,35,31.148725509643555,0,3,4,0
2019-02-14T10:30:07.909Z,35,31.047452926635742,0,3,4,0
2019-02-14T10:30:12.916Z,35,31.365739822387695,0,3,4,0
2019-02-14T10:30:17.923Z,35,31.2210636138916,0,3,4,0
2019-02-14T10:30:22.932Z,35,31.539350509643555,0,3,4,0
2019-02-14T10:30:27.942Z,35,31.785301208496094,0,3,4,0
2019-02-14T10:30:32.952Z,35,31.915508270263672,0,3,4,0
2019-02-14T10:30:37.958Z,35,31.929975509643555,0,3,4,0
2019-02-14T10:30:42.963Z,35,30.700231552124023,0,3,4,0
2019-02-14T10:30:47.971Z,35,31.105323791503906,0,3,4,0
2019-02-14T10:30:52.981Z,35,31.828702926635742,0,3,4,0
2019-02-14T10:30:57.988Z,35,32.5086784362793,0,3,4,0
2019-02-14T10:31:02.995Z,35,32.219329833984375,0,3,4,0
2019-02-14T10:31:07.998Z,35,31.872106552124023,0,3,4,0
2019-02-14T10:31:13.008Z,35,31.322338104248047,0,3,4,0
2019-02-14T10:31:18.015Z,35,31.29340171813965,0,3,4,0
2019-02-14T10:31:23.025Z,35,31.322338104248047,0,3,4,0
2019-02-14T10:31:28.040Z,35,31.134258270263672,0,3,4,0
2019-02-14T10:31:33.048Z,35,31.105323791503906,0,3,4,0
2019-02-14T10:31:38.545Z,35,31.365739822387695,0,3,4,0
2019-02-14T10:31:43.553Z,35,31.004051208496094,0,3,4,0
2019-02-14T10:31:48.571Z,35,30.55555534362793,0,3,4,0
2019-02-14T10:31:53.579Z,35,31.539350509643555,0,3,4,0
2019-02-14T10:31:59.073Z,35,31.004051208496094,0,3,4,0
2019-02-14T10:32:04.083Z,35,30.55555534362793,0,3,4,0
2019-02-14T10:32:09.090Z,35,31.03298568725586,0,3,4,0
2019-02-14T10:32:14.107Z,35,31.11979103088379,0,3,4,0
2019-02-14T10:32:19.605Z,35,31.105323791503906,0,3,4,0
2019-02-14T10:32:24.618Z,35,30.541088104248047,0,3,4,0
2019-02-14T10:32:29.631Z,35,31.495948791503906,0,3,4,0
2019-02-14T10:32:34.635Z,35,31.409143447875977,0,3,4,0
2019-02-14T10:32:40.134Z,35,31.351272583007812,0,3,4,0
2019-02-14T10:32:45.142Z,35,31.134258270263672,0,3,4,0
2019-02-14T10:32:50.147Z,35,30.844907760620117,0,3,4,0
2019-02-14T10:32:55.151Z,35,30.888309478759766,0,3,4,0
2019-02-14T10:33:00.156Z,35,30.931713104248047,0,4,4,0
2019-02-14T10:33:05.165Z,35,31.07638931274414,0,4,4,0
2019-02-14T10:33:10.183Z,35,32.16145706176758,0,4,4,0
2019-02-14T10:33:15.183Z,35,32.20486068725586,0,4,4,0
2019-02-14T10:33:20.198Z,35,31.94444465637207,0,4,4,0
2019-02-14T10:33:25.204Z,35,31.495948791503906,0,4,4,0
2019-02-14T10:33:30.213Z,35,31.134258270263672,0,4,4,0
2019-02-14T10:33:35.721Z,35,32.43634033203125,0,4,4,0
2019-02-14T10:33:41.217Z,35,30.888309478759766,0,4,4,0
2019-02-14T10:33:46.237Z,35,31.51041603088379,0,4,4,0
2019-02-14T10:33:51.732Z,35,31.134258270263672,0,4,4,0
2019-02-14T10:33:56.740Z,35,30.8304386138916,0,4,4,0
2019-02-14T10:34:01.750Z,35,30.714698791503906,0,4,4,0
2019-02-14T10:34:06.753Z,35,31.29340171813965,0,4,4,0
2019-02-14T10:34:11.774Z,35,32.016780853271484,0,4,4,0
2019-02-14T10:34:16.778Z,35,32.219329833984375,0,4,4,0
2019-02-14T10:34:22.272Z,35,31.568286895751953,0,4,4,0
2019-02-14T10:34:27.292Z,35,32.5086784362793,0,4,4,0
2019-02-14T10:34:32.316Z,35,32.26272964477539,0,4,4,0
2019-02-14T10:34:37.322Z,35,32.5086784362793,0,4,4,0
2019-02-14T10:34:42.815Z,35,31.770832061767578,0,4,4,0
2019-02-14T10:34:47.820Z,35,32.14699172973633,0,4,4,0
2019-02-14T10:34:53.318Z,35,31.42361068725586,0,4,4,0
2019-02-14T10:34:58.326Z,35,31.07638931274414,0,4,4,0
2019-02-14T10:35:03.350Z,35,31.872106552124023,0,4,4,0
2019-02-14T10:35:08.350Z,35,31.72743034362793,0,4,4,0
2019-02-14T10:35:13.356Z,35,31.799768447875977,0,4,4,0
2019-02-14T10:35:18.364Z,35,32.5086784362793,0,4,4,0
2019-02-14T10:35:23.893Z,35,32.190391540527344,0,4,4,0
2019-02-14T10:35:29.381Z,35,30.787036895751953,0,4,4,0
2019-02-14T10:35:34.889Z,35,31.828702926635742,0,4,4,0
2019-02-14T10:35:40.394Z,35,32.624420166015625,0,4,4,0
2019-02-14T10:35:45.403Z,35,31.973379135131836,0,4,4,0
2019-02-14T10:35:50.406Z,35,31.278934478759766,0,4,4,0
2019-02-14T10:35:55.426Z,35,31.148725509643555,0,4,4,0
2019-02-14T10:36:00.903Z,35,32.29166793823242,0,4,4,0
2019-02-14T10:36:05.942Z,35,31.785301208496094,0,4,4,0
2019-02-14T10:36:11.414Z,35,31.929975509643555,0,4,4,0
2019-02-14T10:36:16.439Z,35,32.29166793823242,0,4,4,0
2019-02-14T10:36:21.957Z,35,31.640625,0,4,4,0
2019-02-14T10:36:26.972Z,35,32.63888931274414,0,4,4,0
2019-02-14T10:36:32.447Z,35,31.799768447875977,0,4,4,0
2019-02-14T10:36:37.467Z,35,32.98611068725586,0,4,4,0
2019-02-14T10:36:42.475Z,35,32.783565521240234,0,4,4,0
2019-02-14T10:36:48.052Z,35,31.148725509643555,0,4,4,0
2019-02-14T10:36:53.502Z,35,31.25,0,4,4,0
2019-02-14T10:36:58.511Z,35,30.90277671813965,0,4,4,0
2019-02-14T10:37:04.018Z,35,31.322338104248047,0,4,4,0
2019-02-14T10:37:09.515Z,35,31.756364822387695,0,4,4,0
2019-02-14T10:37:14.525Z,35,31.929975509643555,0,4,4,0
2019-02-14T10:37:20.035Z,35,31.655092239379883,0,4,4,0
2019-02-14T10:37:25.060Z,35,31.929975509643555,0,4,4,0
2019-02-14T10:37:30.533Z,35,31.192129135131836,0,4,4,0
2019-02-14T10:37:35.534Z,35,31.799768447875977,0,4,4,0
2019-02-14T10:37:40.550Z,35,31.915508270263672,0,4,4,0
2019-02-14T10:37:45.557Z,35,32.91377258300781,0,4,4,0
2019-02-14T10:37:50.563Z,35,32.581016540527344,0,4,4,0
2019-02-14T10:37:55.575Z,35,32.47974395751953,0,4,4,0
2019-02-14T10:38:00.616Z,35,31.770832061767578,0,4,4,0
2019-02-14T10:38:06.210Z,35,32.5086784362793,0,4,4,0
2019-02-14T10:38:11.748Z,35,31.640625,0,4,4,0
2019-02-14T10:38:17.159Z,35,31.278934478759766,0,4,4,0
2019-02-14T10:38:22.182Z,35,32.233795166015625,0,4,4,0
2019-02-14T10:38:27.587Z,35,31.770832061767578,0,4,4,0
2019-02-14T10:38:32.591Z,35,31.46701431274414,0,4,4,0
2019-02-14T10:38:37.624Z,35,30.931713104248047,0,4,4,0
2019-02-14T10:38:42.633Z,35,30.787036895751953,0,4,4,0
2019-02-14T10:38:48.129Z,35,31.07638931274414,0,4,4,0
2019-02-14T10:38:53.130Z,35,30.627893447875977,0,4,4,0
2019-02-14T10:38:58.150Z,35,30.454282760620117,0,4,4,0
2019-02-14T10:39:03.179Z,35,31.55381965637207,0,4,4,0
2019-02-14T10:39:08.649Z,35,30.454282760620117,0,4,4,0
2019-02-14T10:39:13.672Z,35,30.975114822387695,0,4,4,0
2019-02-14T10:39:19.148Z,35,31.11979103088379,0,4,4,0
2019-02-14T10:39:24.298Z,35,30.671295166015625,0,4,4,0
2019-02-14T10:39:29.666Z,35,31.495948791503906,0,4,4,0
2019-02-14T10:39:34.694Z,35,31.03298568725586,0,4,4,0
2019-02-14T10:39:39.767Z,35,30.787036895751953,0,4,4,0
2019-02-14T10:39:45.193Z,35,31.481481552124023,0,4,4,0
2019-02-14T10:39:50.669Z,35,31.799768447875977,0,4,4,0
2019-02-14T10:39:55.693Z,35,32.1180534362793,0,4,4,0
2019-02-14T10:40:00.833Z,35,31.278934478759766,0,4,4,0
2019-02-14T10:40:06.224Z,35,31.973379135131836,0,4,4,0
2019-02-14T10:40:11.724Z,35,31.770832061767578,0,4,4,0
2019-02-14T10:40:17.210Z,35,31.582754135131836,0,4,4,0
2019-02-14T10:40:22.223Z,35,32.233795166015625,0,4,4,0
2019-02-14T10:40:27.249Z,35,31.770832061767578,0,4,4,0
2019-02-14T10:40:32.399Z,35,31.655092239379883,5.7031426429748535,3,3,0
2019-02-14T10:40:37.740Z,35,31.351272583007812,33.20585632324219,3,3,0
2019-02-14T10:40:42.759Z,35,31.51041603088379,61.69533920288086,3,3,0
2019-02-14T10:40:48.259Z,35,30.483217239379883,96.12425231933594,3,3,0
2019-02-14T10:40:53.271Z,35,30.55555534362793,100,3,3,0
2019-02-14T10:40:58.812Z,32,31.394676208496094,100,3,3,0
2019-02-14T10:41:04.292Z,32,31.51041603088379,100,3,3,0
2019-02-14T10:41:09.770Z,32,30.931713104248047,100,3,3,0
2019-02-14T10:41:14.796Z,32,31.42361068725586,100,3,3,0
2019-02-14T10:41:20.367Z,30,30.613426208496094,96.80668640136719,3,3,0
2019-02-14T10:41:25.785Z,30,30.844907760620117,87.8646240234375,3,3,0
2019-02-14T10:41:31.290Z,30,31.828702926635742,78.26078033447266,3,3,0
2019-02-14T10:41:36.320Z,30,32.277198791503906,66.9965591430664,3,3,0
2019-02-14T10:41:41.340Z,30,31.438077926635742,56.791481018066406,3,3,0
2019-02-14T10:41:46.354Z,30,30.859375,47.161293029785156,3,3,0
2019-02-14T10:41:51.363Z,30,31.177661895751953,40.43507766723633,3,3,0
2019-02-14T10:41:56.382Z,30,31.25,32.90568161010742,3,3,0
2019-02-14T10:42:01.863Z,31,31.264467239379883,25.429889678955078,3,3,0
2019-02-14T10:42:07.351Z,31,31.69849395751953,25.40057945251465,3,3,0
2019-02-14T10:42:12.856Z,31,31.192129135131836,20.405296325683594,3,3,0
2019-02-14T10:42:17.858Z,31,31.770832061767578,20.228328704833984,3,3,0
2019-02-14T10:42:22.858Z,31,31.626157760620117,17.616548538208008,3,3,0
2019-02-14T10:42:28.350Z,31,31.655092239379883,17.717376708984375,3,3,0
2019-02-14T10:42:33.356Z,31,31.828702926635742,18.45762062072754,3,3,0
2019-02-14T10:42:38.362Z,31,31.785301208496094,17.885547637939453,3,3,0
2019-02-14T10:42:43.391Z,31,31.105323791503906,11.478824615478516,3,3,0
2019-02-14T10:42:48.871Z,31,31.582754135131836,8.165943145751953,3,3,0
2019-02-14T10:42:53.892Z,31,31.46701431274414,7.546468257904053,3,3,0
2019-02-14T10:42:58.897Z,31,31.42361068725586,3.6322221755981445,3,3,0
